"geo_code","geo","time","Value"
"EU27","EU27",2015,8.00292972854961
"EU27","EU27",2016,7.29899047592072
"EU27","EU27",2017,6.94096413175791
"EU27","EU27",2018,6.72047217337545
"EU28","EU28",2015,7.78055621804911
"EU28","EU28",2016,7.14715282275041
"EU28","EU28",2017,6.76676020692826
"EU28","EU28",2018,6.49463816407932
"AT","Austria",2015,5.5462746
"AT","Austria",2016,5.16396959999999
"AT","Austria",2017,4.43154649999999
"AT","Austria",2018,3.57951629999999
"BE","Belgium",2015,9.53125999999999
"BE","Belgium",2016,10.0443321999999
"BE","Belgium",2017,10.7042059
"BE","Belgium",2018,10.7799116
"BG","Bulgaria",2015,14.8991780999999
"BG","Bulgaria",2016,13.5612481
"BG","Bulgaria",2017,12.0423528
"BG","Bulgaria",2018,12.4939815
"HR","Croatia",2015,6.4701348
"HR","Croatia",2016,6.91829739999999
"HR","Croatia",2017,7.777847
"HR","Croatia",2018,10.0096017999999
"CZ","Czechia",2015,5.8172945
"CZ","Czechia",2016,5.09070059999999
"CZ","Czechia",2017,3.86501029999999
"CZ","Czechia",2018,3.7234413
"DK","Denmark",2015,5.86948029999999
"DK","Denmark",2016,5.83107579999999
"DK","Denmark",2017,5.44292109999999
"DK","Denmark",2018,5.2226793
"EE","Estonia",2015,9.4592197
"EE","Estonia",2016,8.28220229999999
"EE","Estonia",2017,8.2405617
"EE","Estonia",2018,7.40091979999999
"FI","Finland",2015,9.27809089999999
"FI","Finland",2016,8.4291421
"FI","Finland",2017,8.32636769999999
"FI","Finland",2018,7.66984759999999
"FR","France",2015,6.81573329999999
"FR","France",2016,6.3169636
"FR","France",2017,6.33819439999999
"FR","France",2018,6.00813119999999
"DE","Germany (until 1990 former territory of the FRG)",2015,4.0726308
"DE","Germany (until 1990 former territory of the FRG)",2016,3.7649383
"DE","Germany (until 1990 former territory of the FRG)",2017,3.6228461
"DE","Germany (until 1990 former territory of the FRG)",2018,3.5343286
"EL","Greece",2015,15.7652097999999
"EL","Greece",2016,16.4081118
"EL","Greece",2017,16.5831957999999
"EL","Greece",2018,13.268788
"HU","Hungary",2015,11.3079052
"HU","Hungary",2016,9.3847486
"HU","Hungary",2017,8.8459161
"HU","Hungary",2018,6.89554549999999
"IE","Ireland",2015,8.9470176
"IE","Ireland",2016,7.1918308
"IE","Ireland",2017,6.5902131
"IE","Ireland",2018,6.95935379999999
"IT","Italy",2015,8.5559569
"IT","Italy",2016,7.64525219999999
"IT","Italy",2017,7.5204587
"IT","Italy",2018,7.2920102
"LV","Latvia",2015,9.88676539999999
"LV","Latvia",2016,9.48927549999999
"LV","Latvia",2017,9.38097789999999
"LV","Latvia",2018,9.4711136
"LT","Lithuania",2015,15.3339411
"LT","Lithuania",2016,13.2701116
"LT","Lithuania",2017,12.2551505
"LT","Lithuania",2018,10.6853755999999
"LU","Luxembourg",2015,4.6628799
"LU","Luxembourg",2016,4.02303789999999
"LU","Luxembourg",2017,3.3443307
"LU","Luxembourg",2018,3.2853681
"MT","Malta",2015,5.85576839999999
"MT","Malta",2016,5.5868404
"MT","Malta",2017,5.06720699999999
"MT","Malta",2018,4.37307429999999
"NL","Netherlands",2015,5.7459087
"NL","Netherlands",2016,5.53477579999999
"NL","Netherlands",2017,5.07728559999999
"NL","Netherlands",2018,5.11417539999999
"PL","Poland",2015,8.86974289999999
"PL","Poland",2016,6.2624084
"PL","Poland",2017,5.2522855
"PL","Poland",2018,4.2522016
"PT","Portugal",2015,14.6874554999999
"PT","Portugal",2016,13.2358848
"PT","Portugal",2017,11.5694586
"PT","Portugal",2018,10.5520087
"RO","Romania",2015,19.2518831
"RO","Romania",2016,16.5867813
"RO","Romania",2017,14.6805636999999
"RO","Romania",2018,14.4557035
"SK","Slovakia",2015,6.22314759999999
"SK","Slovakia",2016,5.31068289999999
"SK","Slovakia",2017,5.04946819999999
"SK","Slovakia",2018,5.0003074
"SI","Slovenia",2015,12.3429918999999
"SI","Slovenia",2016,11.8478383
"SI","Slovenia",2017,11.1961212
"SI","Slovenia",2018,10.4339011
"ES","Spain",2015,7.0769311
"ES","Spain",2016,7.5387563
"ES","Spain",2017,7.5177562
"ES","Spain",2018,8.64141229999999
"SE","Sweden",2015,4.49876499999999
"SE","Sweden",2016,5.33043509999999
"SE","Sweden",2017,5.3799687
"SE","Sweden",2018,5.7667256
"UK","United Kingdom",2015,6.2897164
"UK","United Kingdom",2016,6.13447429999999
"UK","United Kingdom",2017,5.61077089999999
"UK","United Kingdom",2018,5.00080209999999
