Year,Country,Country (Code),Attribute,Attribute (Code),Sector (NACE rev. 2),Sector (NACE rev. 2) (Code),Unit,Value
2008,Austria,AT,Location Quotient,LQ_EU,Agriculture,A01,Ratio,0.7586180464138077
2008,Austria,AT,Location Quotient,LQ_EU,Beverage,C11,Ratio,1.0309264090024322
2008,Austria,AT,Location Quotient,LQ_EU,Bio-based chemicals (excluding biofuels),bchem,Ratio,0.9769050869245283
2008,Austria,AT,Location Quotient,LQ_EU,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Ratio,1.078690010900157
2008,Austria,AT,Location Quotient,LQ_EU,Bio-based electricity,bD3511,Ratio,4.066273985157138
2008,Austria,AT,Location Quotient,LQ_EU,Bio-based pharmaceuticals,bC21,Ratio,1.288829685209296
2008,Austria,AT,Location Quotient,LQ_EU,Bio-based textile,bC13,Ratio,0.7518835715845705
2008,Austria,AT,Location Quotient,LQ_EU,Bio-based textiles,bTEXT,Ratio,0.47959087289402896
2008,Austria,AT,Location Quotient,LQ_EU,Bio-based wearing apparel,bC14,Ratio,0.2509190967194044
2008,Austria,AT,Location Quotient,LQ_EU,Biodiesel,Biod,Ratio,1.9133962374807107
2008,Austria,AT,Location Quotient,LQ_EU,Bioeconomy,bTOTC,Ratio,0.8860618103625518
2008,Austria,AT,Location Quotient,LQ_EU,Bioethanol,Bioeth,Ratio,0
2008,Austria,AT,Location Quotient,LQ_EU,Fishing and Aquaculture,A03,Ratio,0.08797541447224866
2008,Austria,AT,Location Quotient,LQ_EU,Food,C10,Ratio,0.8646302209447458
2008,Austria,AT,Location Quotient,LQ_EU,"Food, beverage and tobacco",C10-12,Ratio,0.8724437432283279
2008,Austria,AT,Location Quotient,LQ_EU,Forestry,A02,Ratio,2.534283000411918
2008,Austria,AT,Location Quotient,LQ_EU,Leather,bC15,Ratio,0.7222762833331338
2008,Austria,AT,Location Quotient,LQ_EU,Liquid biofuels,bFUEL,Ratio,1.519796639992422
2008,Austria,AT,Location Quotient,LQ_EU,Paper,bC17,Ratio,1.44193302489051
2008,Austria,AT,Location Quotient,LQ_EU,Rubber and bio-based plastics,bC22,Ratio,0.26159446125930585
2008,Austria,AT,Location Quotient,LQ_EU,Wood products,bC16,Ratio,1.6049644999888792
2008,Austria,AT,Location Quotient,LQ_EU,Wood products and furniture,bC16-bC31,Ratio,1.356199709669433
2008,Austria,AT,Location Quotient,LQ_EU,Wooden furniture,bC31,Ratio,0.9257193505572474
2008,Austria,AT,Number of persons employed,V16110,Agriculture,A01,Number of people employed,178550
2008,Austria,AT,Number of persons employed,V16110,Beverage,C11,Number of people employed,9182
2008,Austria,AT,Number of persons employed,V16110,Bio-based chemicals (excluding biofuels),bchem,Number of people employed,1497.9197287195225
2008,Austria,AT,Number of persons employed,V16110,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",bCHEM,Number of people employed,8213.516076338303
2008,Austria,AT,Number of persons employed,V16110,Bio-based electricity,bD3511,Number of people employed,570.295946429519
2008,Austria,AT,Number of persons employed,V16110,Bio-based pharmaceuticals,bC21,Number of people employed,6429.922252957826
2008,Austria,AT,Number of persons employed,V16110,Bio-based textile,bC13,Number of people employed,4190.680830941441
2008,Austria,AT,Number of persons employed,V16110,Bio-based textiles,bTEXT,Number of people employed,10088.136515372391
2008,Austria,AT,Number of persons employed,V16110,Bio-based wearing apparel,bC14,Number of people employed,2805.3306844309495
2008,Austria,AT,Number of persons employed,V16110,Biodiesel,Biod,Number of people employed,807.8765329273007
2008,Austria,AT,Number of persons employed,V16110,Bioeconomy,bTOTC,Number of people employed,368647.1776793231
2008,Austria,AT,Number of persons employed,V16110,Bioethanol,Bioeth,Number of people employed,0
2008,Austria,AT,Number of persons employed,V16110,Fishing and Aquaculture,A03,Number of people employed,330
2008,Austria,AT,Number of persons employed,V16110,Food,C10,Number of people employed,68537
2008,Austria,AT,Number of persons employed,V16110,"Food, beverage and tobacco",C10-12,Number of people employed,77719
2008,Austria,AT,Number of persons employed,V16110,Forestry,A02,Number of people employed,25570
2008,Austria,AT,Number of persons employed,V16110,Leather,bC15,Number of people employed,3092.125
2008,Austria,AT,Number of persons employed,V16110,Liquid biofuels,bFUEL,Number of people employed,807.8765329273007
2008,Austria,AT,Number of persons employed,V16110,Paper,bC17,Number of people employed,18444.625
2008,Austria,AT,Number of persons employed,V16110,Rubber and bio-based plastics,bC22,Number of people employed,285.6740946609545
2008,Austria,AT,Number of persons employed,V16110,Total sectors,TOT_NACER2,Number of people employed,3994100
2008,Austria,AT,Number of persons employed,V16110,Wood products,bC16,Number of people employed,36265.90661436129
2008,Austria,AT,Number of persons employed,V16110,Wood products and furniture,bC16-bC31,Number of people employed,48353.72760825563
