geo_code,time,value,type
EU28,2009,552873.4711659967,"total_biomass_supply_for_food_purposes,_including_inputs"
EU28,2010,551825.386926701,"total_biomass_supply_for_food_purposes,_including_inputs"
EU28,2011,552822.4847778284,"total_biomass_supply_for_food_purposes,_including_inputs"
EU28,2012,549547.273479191,"total_biomass_supply_for_food_purposes,_including_inputs"
EU28,2013,551801.3279662278,"total_biomass_supply_for_food_purposes,_including_inputs"
EU28,2014,553152.9989672417,"total_biomass_supply_for_food_purposes,_including_inputs"
EU28,2015,557891.024213959,"total_biomass_supply_for_food_purposes,_including_inputs"
EU28,2009,186761.654452963,total_biomass_supply_for_materials
EU28,2010,203765.881138898,total_biomass_supply_for_materials
EU28,2011,204458.123084569,total_biomass_supply_for_materials
EU28,2012,199351.814355292,total_biomass_supply_for_materials
EU28,2013,201514.256755904,total_biomass_supply_for_materials
EU28,2014,206660.783156243,total_biomass_supply_for_materials
EU28,2015,210095.69157750602,total_biomass_supply_for_materials
EU28,2009,155281.242524599,total_biomass_supply_for_energy
EU28,2010,164696.324552471,total_biomass_supply_for_energy
EU28,2011,175860.340228,total_biomass_supply_for_energy
EU28,2012,181492.372034845,total_biomass_supply_for_energy
EU28,2013,211067.585588952,total_biomass_supply_for_energy
EU28,2014,200530.424474265,total_biomass_supply_for_energy
EU28,2015,207497.619323997,total_biomass_supply_for_energy
