geo_code,time,tot_biomass,unit.tot_biomass,geo,population.x,tot_biomass_capita,time_n_1,sum_population,value_per_capita
,,,,,,,,,
AT,2000,10283.8881,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
AT,2001,10227.4436,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
AT,2002,10180.0025,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
AT,2003,9893.567,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
AT,2004,9516.6462,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
AT,2005,9978.8388,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
AT,2006,9839.6694,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
AT,2007,10110.3033,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
AT,2008,9963.7306,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
AT,2009,10104.8653,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
AT,2010,10237.0843,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
AT,2011,10345.9998,1000_T_of_dry_matter_(Net_trade),Austria,8408121,8375164,2012,8391642.5,0.12328933
AT,2012,10371.9391,1000_T_of_dry_matter_(Net_trade),Austria,8451860,8408121,2013,8429990.5,0.12303619
AT,2013,10528.5726,1000_T_of_dry_matter_(Net_trade),Austria,8507786,8451860,2014,8479823,0.12416029
AT,2014,10843.7378,1000_T_of_dry_matter_(Net_trade),Austria,8584926,8507786,2015,8546356,0.12688142
AT,2015,10882.8427,1000_T_of_dry_matter_(Net_trade),Austria,8700471,8584926,2016,8642698.5,0.1259195
AT,2016,10887.6699,1000_T_of_dry_matter_(Net_trade),Austria,8772865,8700471,2017,8736668,0.12462039
AT,2017,10877.0039,1000_T_of_dry_matter_(Net_trade),Austria,8822267,8772865,2018,8797566,0.12363651
AT,2018,NA,NA,Austria,8858775,8822267,2019,8840521,NA
AT,2019,NA,NA,Austria,8901064,8858775,2020,8879919.5,NA
AT,2020,NA,NA,Austria,NA,8901064,2021,NA,NA
BE,2000,12635.5685,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
BE,2001,13090.7245,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
BE,2002,13002.4609,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
BE,2003,12703.9017,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
BE,2004,12848.5483,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
BE,2005,12960.3636,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
BE,2006,13058.3881,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
BE,2007,13204.2593,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
BE,2008,13160.9166,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
BE,2009,13039.6811,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
BE,2010,13201.5361,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
BE,2011,13336.338,1000_T_of_dry_matter_(Net_trade),Belgium,11075889,11000638,2012,11038263.5,0.12081917
BE,2012,13548.588,1000_T_of_dry_matter_(Net_trade),Belgium,11137974,11075889,2013,11106931.5,0.12198318
BE,2013,13735.7667,1000_T_of_dry_matter_(Net_trade),Belgium,11180840,11137974,2014,11159407,0.12308689
BE,2014,13487.1184,1000_T_of_dry_matter_(Net_trade),Belgium,11237274,11180840,2015,11209057,0.1203234
BE,2015,13883.5558,1000_T_of_dry_matter_(Net_trade),Belgium,11311117,11237274,2016,11274195.5,0.12314454
BE,2016,13358.8228,1000_T_of_dry_matter_(Net_trade),Belgium,11351727,11311117,2017,11331422,0.11789185
BE,2017,13736.4838,1000_T_of_dry_matter_(Net_trade),Belgium,11398589,11351727,2018,11375158,0.12075862
BE,2018,NA,NA,Belgium,11455519,11398589,2019,11427054,NA
BE,2019,NA,NA,Belgium,11522440,11455519,2020,11488979.5,NA
BE,2020,NA,NA,Belgium,NA,11522440,2021,NA,NA
BG,2000,6892.7324,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
BG,2001,6631.3284,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
BG,2002,6345.95,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
BG,2003,6026.617,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
BG,2004,6268.673,1000_T_of_dry_matter_(Net_trade),NA,NA,NA,NA,NA,NA
