Geopolitical Entity,Year,Sector,Level_Sankey,Lifecycle Step,Source,Target,Flow,Unit,Value (THOUSAND TONS)
Austria,2008,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),546.7068666
Austria,2009,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),556.0841877
Austria,2010,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),565.0479071
Austria,2011,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),571.8682837
Austria,2012,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),573.5179507
Austria,2013,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),582.8486724
Austria,2014,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),604.7174428
Austria,2015,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),607.3530848
Austria,2016,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),607.6469613
Austria,2017,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),605.0635962
Belgium,2008,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),727.1353249
Belgium,2009,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),716.9093025
Belgium,2010,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),726.3504824
Belgium,2011,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),734.0503129
Belgium,2012,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),750.6279708
Belgium,2013,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),762.1811251
Belgium,2014,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),740.4660986
Belgium,2015,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),761.6684791
Belgium,2016,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),727.5569877
Belgium,2017,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),753.0947155
Bulgaria,2008,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),338.293862
Bulgaria,2009,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),331.9053153
Bulgaria,2010,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),327.533732
Bulgaria,2011,Agriculture,L2 - Biomass by type,Inner Uses,Feed & bedding,Animal-based food,Agriculture biomass,1000 T of dry matter (Net trade),335.3214486
