Geopolitical Entity,Year,Sector,Level_Sankey,Lifecycle Step,Source,Target,Flow,Unit,Value (THOUSAND TONS)
Austria,2008,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1893.530472
Austria,2009,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1898.536701
Austria,2010,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1899.251751
Austria,2011,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1907.867634
Austria,2012,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1917.999267
Austria,2013,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1936.490719
Austria,2014,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1931.239075
Austria,2015,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1931.163152
Austria,2016,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1932.310287
Austria,2017,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1959.04893
Belgium,2008,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2396.310344
Belgium,2009,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2430.178732
Belgium,2010,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2450.410369
Belgium,2011,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2471.979429
Belgium,2012,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2467.936618
Belgium,2013,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2485.440502
Belgium,2014,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2552.93103
Belgium,2015,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2638.074389
Belgium,2016,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2616.150724
Belgium,2017,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2620.282526
Bulgaria,2008,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1309.587289
Bulgaria,2009,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1304.957291
Bulgaria,2010,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1283.508631
Bulgaria,2011,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1268.146541
Bulgaria,2012,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1254.457914
Bulgaria,2013,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1267.558013
Bulgaria,2014,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1283.815145
Bulgaria,2015,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1225.24398
Bulgaria,2016,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1260.669003
Bulgaria,2017,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1237.330279
Croatia,2008,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),832.0402876
Croatia,2009,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),816.6860155
Croatia,2010,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),789.8334549
Croatia,2011,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),792.1603093
Croatia,2012,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),784.6309585
Croatia,2013,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),803.873502
Croatia,2014,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),757.0582357
Croatia,2015,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),770.0342031
Croatia,2016,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),790.7440112
Croatia,2017,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),769.781528
Cyprus,2008,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),178.1187848
Cyprus,2009,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),179.5717728
Cyprus,2010,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),184.8720065
Cyprus,2011,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),187.2781828
Cyprus,2012,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),186.2065812
Cyprus,2013,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),190.9174193
Cyprus,2014,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),191.4992416
Cyprus,2015,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),190.4664512
Cyprus,2016,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),191.6860046
Cyprus,2017,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),194.015499
Czechia,2008,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2098.598763
Czechia,2009,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2112.619561
Czechia,2010,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2133.222766
Czechia,2011,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2125.658632
Czechia,2012,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2138.142046
Czechia,2013,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2163.742746
Czechia,2014,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2085.451428
Czechia,2015,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2002.773526
Czechia,2016,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2091.622731
Czechia,2017,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),2122.397068
Denmark,2008,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1031.783013
Denmark,2009,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1053.8668
Denmark,2010,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1069.384005
Denmark,2011,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1064.325501
Denmark,2012,Agriculture,L2 - Biomass by type,Inner Uses,Plant-based food supply,Plant-based food,Agriculture biomass,1000 T of dry matter (Net trade),1072.54583
