geo_code,time,value,type
EU27_2020,1990,115.92,CO_FARM_I00
EU27_2020,1991,114.42,CO_FARM_I00
EU27_2020,1992,112.96,CO_FARM_I00
EU27_2020,1993,111.74,CO_FARM_I00
EU27_2020,1994,110.58,CO_FARM_I00
EU27_2020,1995,109.35,CO_FARM_I00
EU27_2020,1996,107.92,CO_FARM_I00
EU27_2020,1997,106.16,CO_FARM_I00
EU27_2020,1998,104.17,CO_FARM_I00
EU27_2020,1999,102.08,CO_FARM_I00
EU27_2020,2000,100.0,CO_FARM_I00
EU27_2020,2001,98.05,CO_FARM_I00
EU27_2020,2002,96.33,CO_FARM_I00
EU27_2020,2003,94.76,CO_FARM_I00
EU27_2020,2004,93.23,CO_FARM_I00
EU27_2020,2005,91.78,CO_FARM_I00
EU27_2020,2006,90.46,CO_FARM_I00
EU27_2020,2007,89.31,CO_FARM_I00
EU27_2020,2008,88.28,CO_FARM_I00
EU27_2020,2009,87.35,CO_FARM_I00
EU27_2020,2010,86.51,CO_FARM_I00
EU27_2020,2011,85.77,CO_FARM_I00
EU27_2020,2012,85.12,CO_FARM_I00
EU27_2020,2013,84.58,CO_FARM_I00
EU27_2020,2014,84.12,CO_FARM_I00
EU27_2020,2015,83.76,CO_FARM_I00
EU27_2020,2016,83.49,CO_FARM_I00
EU27_2020,2017,83.29,CO_FARM_I00
EU27_2020,2018,83.09,CO_FARM_I00
EU27_2020,1990,100.0,CO_FARM_I90
EU27_2020,1991,98.71,CO_FARM_I90
EU27_2020,1992,97.46,CO_FARM_I90
EU27_2020,1993,96.41,CO_FARM_I90
EU27_2020,1994,95.41,CO_FARM_I90
EU27_2020,1995,94.36,CO_FARM_I90
EU27_2020,1996,93.11,CO_FARM_I90
EU27_2020,1997,91.59,CO_FARM_I90
EU27_2020,1998,89.87,CO_FARM_I90
EU27_2020,1999,88.06,CO_FARM_I90
EU27_2020,2000,86.25,CO_FARM_I90
EU27_2020,2001,84.57,CO_FARM_I90
EU27_2020,2002,83.09,CO_FARM_I90
EU27_2020,2003,81.73,CO_FARM_I90
EU27_2020,2004,80.42,CO_FARM_I90
EU27_2020,2005,79.18,CO_FARM_I90
EU27_2020,2006,78.04,CO_FARM_I90
EU27_2020,2007,77.06,CO_FARM_I90
EU27_2020,2008,76.2,CO_FARM_I90
EU27_2020,2009,75.41,CO_FARM_I90
EU27_2020,2010,74.71,CO_FARM_I90
EU27_2020,2011,74.09,CO_FARM_I90
EU27_2020,2012,73.56,CO_FARM_I90
EU27_2020,2013,73.11,CO_FARM_I90
EU27_2020,2014,72.75,CO_FARM_I90
EU27_2020,2015,72.48,CO_FARM_I90
EU27_2020,2016,72.27,CO_FARM_I90
EU27_2020,2017,72.14,CO_FARM_I90
EU27_2020,2018,72.01,CO_FARM_I90
EU27_2020,1990,103.17,CO_FOR_I00
EU27_2020,1991,103.69,CO_FOR_I00
EU27_2020,1992,103.95,CO_FOR_I00
EU27_2020,1993,104.05,CO_FOR_I00
EU27_2020,1994,104.02,CO_FOR_I00
EU27_2020,1995,103.9,CO_FOR_I00
EU27_2020,1996,103.72,CO_FOR_I00
EU27_2020,1997,103.23,CO_FOR_I00
EU27_2020,1998,102.31,CO_FOR_I00
EU27_2020,1999,101.16,CO_FOR_I00
EU27_2020,2000,100.0,CO_FOR_I00
EU27_2020,2001,99.01,CO_FOR_I00
EU27_2020,2002,98.39,CO_FOR_I00
EU27_2020,2003,98.05,CO_FOR_I00
EU27_2020,2004,97.77,CO_FOR_I00
EU27_2020,2005,97.58,CO_FOR_I00
EU27_2020,2006,97.52,CO_FOR_I00
EU27_2020,2007,97.63,CO_FOR_I00
EU27_2020,2008,97.87,CO_FOR_I00
EU27_2020,2009,98.25,CO_FOR_I00
EU27_2020,2010,98.73,CO_FOR_I00
EU27_2020,2011,99.33,CO_FOR_I00
EU27_2020,2012,100.06,CO_FOR_I00
EU27_2020,2013,100.91,CO_FOR_I00
EU27_2020,2014,101.9,CO_FOR_I00
EU27_2020,2015,103.01,CO_FOR_I00
EU27_2020,2016,104.28,CO_FOR_I00
EU27_2020,2017,105.68,CO_FOR_I00
EU27_2020,2018,107.08,CO_FOR_I00
EU27_2020,1990,100.0,CO_FOR_I90
EU27_2020,1991,100.49,CO_FOR_I90
EU27_2020,1992,100.74,CO_FOR_I90
EU27_2020,1993,100.82,CO_FOR_I90
EU27_2020,1994,100.78,CO_FOR_I90
EU27_2020,1995,100.64,CO_FOR_I90
EU27_2020,1996,100.45,CO_FOR_I90
EU27_2020,1997,99.97,CO_FOR_I90
EU27_2020,1998,99.07,CO_FOR_I90
EU27_2020,1999,97.96,CO_FOR_I90
EU27_2020,2000,96.83,CO_FOR_I90
EU27_2020,2001,95.88,CO_FOR_I90
