geo_code,time,value,type
AT,2011,0.0,MPA_KM2
AT,2012,0.0,MPA_KM2
AT,2013,0.0,MPA_KM2
AT,2014,0.0,MPA_KM2
AT,2015,0.0,MPA_KM2
AT,2016,0.0,MPA_KM2
AT,2017,0.0,MPA_KM2
AT,2018,0.0,MPA_KM2
AT,2019,0.0,MPA_KM2
BE,2011,1263.0,MPA_KM2
BE,2012,1263.0,MPA_KM2
BE,2013,1271.0,MPA_KM2
BE,2014,1271.0,MPA_KM2
BE,2015,1271.0,MPA_KM2
BE,2016,1271.0,MPA_KM2
BE,2017,1271.0,MPA_KM2
BE,2018,1271.0,MPA_KM2
BE,2019,1271.0,MPA_KM2
BG,2011,926.0,MPA_KM2
BG,2012,926.0,MPA_KM2
BG,2013,990.0,MPA_KM2
BG,2014,2827.0,MPA_KM2
BG,2015,2827.0,MPA_KM2
BG,2016,2827.0,MPA_KM2
BG,2017,2827.0,MPA_KM2
BG,2018,2827.0,MPA_KM2
BG,2019,2827.0,MPA_KM2
CY,2011,132.0,MPA_KM2
CY,2012,132.0,MPA_KM2
CY,2013,132.0,MPA_KM2
CY,2014,131.0,MPA_KM2
CY,2015,131.0,MPA_KM2
CY,2016,131.0,MPA_KM2
CY,2017,131.0,MPA_KM2
CY,2018,131.0,MPA_KM2
CY,2019,8464.0,MPA_KM2
CZ,2011,0.0,MPA_KM2
CZ,2012,0.0,MPA_KM2
CZ,2013,0.0,MPA_KM2
CZ,2014,0.0,MPA_KM2
CZ,2015,0.0,MPA_KM2
CZ,2016,0.0,MPA_KM2
CZ,2017,0.0,MPA_KM2
CZ,2018,0.0,MPA_KM2
CZ,2019,0.0,MPA_KM2
DE,2011,25667.0,MPA_KM2
DE,2012,25509.0,MPA_KM2
DE,2013,25604.0,MPA_KM2
DE,2014,25602.0,MPA_KM2
DE,2015,25603.0,MPA_KM2
DE,2016,25603.0,MPA_KM2
DE,2017,25603.0,MPA_KM2
DE,2018,25603.0,MPA_KM2
DE,2019,25603.0,MPA_KM2
DK,2011,18789.0,MPA_KM2
DK,2012,19012.0,MPA_KM2
DK,2013,19062.0,MPA_KM2
DK,2014,19053.0,MPA_KM2
DK,2015,19053.0,MPA_KM2
DK,2016,19053.0,MPA_KM2
DK,2017,19053.0,MPA_KM2
DK,2018,19048.0,MPA_KM2
DK,2019,19053.0,MPA_KM2
EE,2011,6773.0,MPA_KM2
EE,2012,6771.0,MPA_KM2
EE,2013,6756.0,MPA_KM2
EE,2014,6754.0,MPA_KM2
EE,2015,6754.0,MPA_KM2
EE,2016,6754.0,MPA_KM2
EE,2017,6754.0,MPA_KM2
EE,2018,6754.0,MPA_KM2
EE,2019,6754.0,MPA_KM2
EL,2011,6899.0,MPA_KM2
EL,2012,6908.0,MPA_KM2
EL,2013,7186.0,MPA_KM2
EL,2014,7199.0,MPA_KM2
EL,2015,7199.0,MPA_KM2
EL,2016,7199.0,MPA_KM2
EL,2017,22796.0,MPA_KM2
EL,2018,22796.0,MPA_KM2
EL,2019,22796.0,MPA_KM2
ES,2011,10193.0,MPA_KM2
ES,2012,10193.0,MPA_KM2
ES,2013,10637.0,MPA_KM2
ES,2014,71677.0,MPA_KM2
ES,2015,84386.0,MPA_KM2
ES,2016,84404.0,MPA_KM2
ES,2017,84404.0,MPA_KM2
ES,2018,84404.0,MPA_KM2
ES,2019,84405.0,MPA_KM2
EU27_2020,2011,,MPA_KM2
EU27_2020,2012,,MPA_KM2
EU27_2020,2013,177483.0,MPA_KM2
EU27_2020,2014,244054.0,MPA_KM2
EU27_2020,2015,286145.0,MPA_KM2
EU27_2020,2016,308364.0,MPA_KM2
EU27_2020,2017,402552.0,MPA_KM2
EU27_2020,2018,419769.0,MPA_KM2
EU27_2020,2019,441001.0,MPA_KM2
EU28,2011,,MPA_KM2
EU28,2012,,MPA_KM2
EU28,2013,251566.0,MPA_KM2
EU28,2014,318127.0,MPA_KM2
EU28,2015,360350.0,MPA_KM2
EU28,2016,395528.0,MPA_KM2
EU28,2017,532417.0,MPA_KM2
EU28,2018,551899.0,MPA_KM2
EU28,2019,573131.0,MPA_KM2
FI,2011,6922.0,MPA_KM2
FI,2012,7225.0,MPA_KM2
