geo,id,time,value,unit
Belgium,3,1990,14.687,tonnes per capita
Belgium,3,1991,10.43,tonnes per capita
Belgium,3,1992,16.442,tonnes per capita
Belgium,3,1993,13.084,tonnes per capita
Belgium,3,1994,14.358,tonnes per capita
Belgium,3,1995,15.528,tonnes per capita
Belgium,3,1996,15.7,tonnes per capita
Belgium,3,1997,16.382,tonnes per capita
Belgium,3,1998,16.754,tonnes per capita
Belgium,3,1999,17.135,tonnes per capita
Belgium,3,2000,15.57,tonnes per capita
Belgium,3,2001,17.89,tonnes per capita
Belgium,3,2002,16.247,tonnes per capita
Belgium,3,2003,15.934,tonnes per capita
Belgium,3,2004,15.743,tonnes per capita
Belgium,3,2005,14.975,tonnes per capita
Belgium,3,2006,15.518,tonnes per capita
Belgium,3,2007,16.514,tonnes per capita
Belgium,3,2008,16.327,tonnes per capita
Belgium,3,2009,14.533,tonnes per capita
Belgium,3,2010,14.449,tonnes per capita
Belgium,3,2011,15.157,tonnes per capita
Belgium,3,2012,13.914,tonnes per capita
Belgium,3,2013,13.733,tonnes per capita
Belgium,3,2014,13.515,tonnes per capita
Belgium,3,2015,13.342,tonnes per capita
Belgium,3,2016,13.332,tonnes per capita
Belgium,3,2017,13.657,tonnes per capita
Belgium,3,2018,13.264,tonnes per capita
Belgium,3,2019,10.673,tonnes per capita
Bulgaria,4,2000,12.353,tonnes per capita
Bulgaria,4,2001,13.461,tonnes per capita
Bulgaria,4,2002,14.041,tonnes per capita
Bulgaria,4,2003,14.313,tonnes per capita
Bulgaria,4,2004,16.196,tonnes per capita
Bulgaria,4,2005,16.539,tonnes per capita
Bulgaria,4,2006,18.106,tonnes per capita
Bulgaria,4,2007,18.838,tonnes per capita
Bulgaria,4,2008,20.447,tonnes per capita
Bulgaria,4,2009,16.444,tonnes per capita
Bulgaria,4,2010,16.327,tonnes per capita
Bulgaria,4,2011,18.197,tonnes per capita
Bulgaria,4,2012,17.591,tonnes per capita
Bulgaria,4,2013,17.079,tonnes per capita
Bulgaria,4,2014,18.825,tonnes per capita
Bulgaria,4,2015,21.309,tonnes per capita
Bulgaria,4,2016,18.931,tonnes per capita
Bulgaria,4,2017,19.676,tonnes per capita
Bulgaria,4,2018,20.382,tonnes per capita
Bulgaria,4,2019,21.077,tonnes per capita
Czechia,5,1993,19.178,tonnes per capita
Czechia,5,1994,17.208,tonnes per capita
Czechia,5,1995,18.045,tonnes per capita
