Data extracted on 18/03/2021 12:17:58 from [ESTAT],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: ,Domestic material consumption per capita [T2020_RL110],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last updated: ,05/03/2021 23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time frequency,,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environment indicator,,Domestic material consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of measure,,Tonnes per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
GEO (Labels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,15.455,,15.491,,15.597,,15.684,,16.362,,16.443,,16.782,,17.377,,16.996,,14.903,s,14.448,s,15.267,s,14.077,s,13.664,s,13.801,s,13.737,s,13.693,s,14.123,s,14.365,s,14.22,ps
European Union - 28 countries (2013-2020),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,15.124,,15.208,,15.214,,15.249,,15.889,,15.912,,16.183,,16.664,,16.245,,14.248,s,13.806,s,14.5,s,13.408,s,13.056,s,13.201,s,13.085,s,13.022,s,13.411,s,13.608,s,13.466,ps
Belgium,14.687,,10.43,,16.442,,13.084,,14.358,,15.528,,15.7,,16.382,,16.754,,17.135,,15.57,,17.89,,16.247,,15.934,,15.743,,14.975,,15.518,,16.514,,16.327,,14.533,,14.449,,15.157,,13.914,,13.733,,13.515,,13.342,,13.332,,13.657,,13.264,,10.673,ps
Bulgaria,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,12.353,,13.461,e,14.041,e,14.313,e,16.196,e,16.539,e,18.106,e,18.838,e,20.447,e,16.444,e,16.327,e,18.197,e,17.591,e,17.079,e,18.825,,21.309,,18.931,e,19.676,,20.382,,21.077,p
Czechia,:,,:,,:,,19.178,,17.208,,18.045,,19.466,,19.478,,17.973,,16.739,,17.541,,17.798,,17.015,,17.504,,18.577,,18.402,,18.93,,19.095,,18.641,,16.918,,16.022,,16.878,,14.989,,14.752,,15.238,,15.853,,15.609,,15.672,,15.903,,15.957,
Denmark,:,,:,,:,,23.882,,24.366,,25.35,,26.199,,27.443,,26.261,,27.995,,25.651,,25.084,,23.946,,24.572,,25.787,,27.881,,29.561,,28.525,,27.181,,22.736,,21.219,,23.551,,23.555,,22.152,,22.147,,22.888,,23.382,,24.076,,24.051,,24.977,
Germany (until 1990 former territory of the FRG),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,17.69,,16.692,,16.208,,16.015,,16.25,,15.747,,16.196,,16.227,,16.124,,15.395,,15.441,,16.983,,16.391,,16.255,,16.644,,15.517,,15.549,,16.047,,15.426,,14.724,ps
Estonia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,14.04,,13.8,,16.539,,22.193,,21.63,,21.289,,23.796,,29.01,,26.388,,24.711,,24.997,,26.924,,27.005,,28.772,,28.292,,27.042,,26.9,,30.988,,32.659,,29.262,
Ireland,:,,:,,:,,:,,24.535,,24.511,,25.865,,26.27,,28.732,,30.995,,33.497,,33.31,,33.123,,36.907,,39.45,,39.021,,40.863,,40.891,,35.246,,26.44,,22.687,,19.298,,19.285,,20.706,,19.892,,20.44,,21.701,,22.953,,24.289,,24.658,
Greece,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,14.189,s,14.988,s,15.334,s,16.823,s,16.479,s,16.459,s,16.054,s,22.178,s,21.003,,17.79,s,15.9,s,14.32,,13.169,,12.388,,12.74,,12.269,,11.59,,11.168,,11.113,,9.777,ps
