geo_code,time,mat_cons_biomass,unit.mat_cons_biomass,geo,population.x,mat_cons_biomass_capita,time_n_1,sum_population,value_per_capita
,,,,,,,,,
AT,2000,33621.424,MF1,NA,NA,NA,NA,NA,NA
AT,2001,34198.218,MF1,NA,NA,NA,NA,NA,NA
AT,2002,34474.906,MF1,NA,NA,NA,NA,NA,NA
AT,2003,32500.257,MF1,NA,NA,NA,NA,NA,NA
AT,2004,37528.021,MF1,NA,NA,NA,NA,NA,NA
AT,2005,37484.887,MF1,NA,NA,NA,NA,NA,NA
AT,2006,38685.548,MF1,NA,NA,NA,NA,NA,NA
AT,2007,37709.841,MF1,NA,NA,NA,NA,NA,NA
AT,2008,40204.858,MF1,NA,NA,NA,NA,NA,NA
AT,2009,37826.057,MF1,NA,NA,NA,NA,NA,NA
AT,2010,37811.741,MF1,NA,NA,NA,NA,NA,NA
AT,2011,40299.508,MF1,Austria,8408121,8375164,2012,8391642.5,4.802339
AT,2012,37301.345,MF1,Austria,8451860,8408121,2013,8429990.5,4.424838
AT,2013,38391.62,MF1,Austria,8507786,8451860,2014,8479823,4.527408
AT,2014,40707.109,MF1,Austria,8584926,8507786,2015,8546356,4.763095
AT,2015,37200.057,MF1,Austria,8700471,8584926,2016,8642698.5,4.304218
AT,2016,40845.841,MF1,Austria,8772865,8700471,2017,8736668,4.67522
AT,2017,37780.239,MF1,Austria,8822267,8772865,2018,8797566,4.294397
AT,2018,38461.598,MF1,Austria,8858775,8822267,2019,8840521,4.350603
AT,2019,38946.022,MF1,Austria,8901064,8858775,2020,8879919.5,4.385853
BE,2000,49225.416,MF1,NA,NA,NA,NA,NA,NA
BE,2001,47447.517,MF1,NA,NA,NA,NA,NA,NA
BE,2002,50076.611,MF1,NA,NA,NA,NA,NA,NA
BE,2003,47015.265,MF1,NA,NA,NA,NA,NA,NA
BE,2004,48175.521,MF1,NA,NA,NA,NA,NA,NA
BE,2005,48063.438,MF1,NA,NA,NA,NA,NA,NA
BE,2006,48278.998,MF1,NA,NA,NA,NA,NA,NA
BE,2007,53192.777,MF1,NA,NA,NA,NA,NA,NA
