geo_code,time,value,type
AT,2010,6.6,PC
AT,2011,6.8,PC
AT,2012,7.6,PC
AT,2013,8.9,PC
AT,2014,9.9,PC
AT,2015,11.0,PC
AT,2016,11.4,PC
AT,2017,11.6,PC
BE,2010,12.6,PC
BE,2011,13.5,PC
BE,2012,16.7,PC
BE,2013,17.1,PC
BE,2014,18.2,PC
BE,2015,18.4,PC
BE,2016,18.3,PC
BE,2017,20.4,PC
BG,2010,2.1,PC
BG,2011,1.8,PC
BG,2012,1.9,PC
BG,2013,2.5,PC
BG,2014,2.7,PC
BG,2015,3.1,PC
BG,2016,4.4,PC
BG,2017,3.5,PC
CY,2010,2.0,PC
CY,2011,1.9,PC
CY,2012,2.0,PC
CY,2013,2.4,PC
CY,2014,2.2,PC
CY,2015,2.4,PC
CY,2016,2.4,PC
CY,2017,2.4,PC
CZ,2010,5.3,PC
CZ,2011,5.4,PC
CZ,2012,6.3,PC
CZ,2013,6.7,PC
CZ,2014,6.9,PC
CZ,2015,6.9,PC
CZ,2016,7.6,PC
CZ,2017,7.9,PC
DE,2010,11.0,PC
DE,2011,10.4,PC
DE,2012,10.7,PC
DE,2013,10.9,PC
DE,2014,10.8,PC
DE,2015,11.6,PC
DE,2016,11.7,PC
DE,2017,11.5,PC
DK,2010,8.0,PC
DK,2011,7.1,PC
DK,2012,6.5,PC
DK,2013,7.8,PC
DK,2014,9.1,PC
DK,2015,8.4,PC
DK,2016,8.1,PC
DK,2017,8.0,PC
EE,2010,9.1,PC
EE,2011,14.6,PC
EE,2012,19.3,PC
EE,2013,14.8,PC
EE,2014,11.4,PC
EE,2015,11.8,PC
EE,2016,12.2,PC
EE,2017,12.6,PC
EL,2010,2.7,PC
EL,2011,2.2,PC
EL,2012,1.9,PC
EL,2013,1.8,PC
EL,2014,1.4,PC
EL,2015,1.9,PC
EL,2016,2.3,PC
EL,2017,2.8,PC
ES,2010,10.4,PC
ES,2011,9.8,PC
ES,2012,9.8,PC
ES,2013,8.9,PC
ES,2014,7.7,PC
ES,2015,7.5,PC
ES,2016,8.2,PC
ES,2017,8.9,PC
EU27_2020,2010,10.7,PC
EU27_2020,2011,10.2,PC
EU27_2020,2012,11.0,PC
EU27_2020,2013,11.2,PC
EU27_2020,2014,11.1,PC
EU27_2020,2015,11.2,PC
EU27_2020,2016,11.4,PC
EU27_2020,2017,11.5,PC
EU28,2010,11.2,PC
EU28,2011,10.7,PC
EU28,2012,11.4,PC
EU28,2013,11.7,PC
EU28,2014,11.6,PC
EU28,2015,11.7,PC
EU28,2016,12.0,PC
EU28,2017,12.0,PC
FI,2010,13.5,PC
FI,2011,14.0,PC
FI,2012,15.3,PC
FI,2013,10.1,PC
FI,2014,7.3,PC
FI,2015,6.5,PC
FI,2016,5.3,PC
FI,2017,5.6,PC
FR,2010,17.5,PC
FR,2011,16.8,PC
FR,2012,16.9,PC
FR,2013,17.3,PC
FR,2014,17.8,PC
FR,2015,18.7,PC
FR,2016,19.4,PC
FR,2017,18.8,PC
HR,2010,1.6,PC
HR,2011,2.4,PC
HR,2012,3.6,PC
HR,2013,3.7,PC
HR,2014,4.6,PC
HR,2015,4.3,PC
HR,2016,4.4,PC
HR,2017,5.0,PC
HU,2010,5.3,PC
HU,2011,5.4,PC
HU,2012,6.1,PC
HU,2013,6.2,PC
HU,2014,5.4,PC
HU,2015,5.8,PC
HU,2016,6.5,PC
HU,2017,6.9,PC
IE,2010,1.7,PC
IE,2011,2.1,PC
IE,2012,1.8,PC
IE,2013,1.7,PC
IE,2014,2.0,PC
IE,2015,1.9,PC
IE,2016,1.7,PC
IE,2017,1.7,PC
IT,2010,11.5,PC
IT,2011,11.6,PC
IT,2012,13.9,PC
IT,2013,16.1,PC
IT,2014,16.1,PC
IT,2015,17.3,PC
IT,2016,17.8,PC
IT,2017,18.4,PC
LT,2010,3.9,PC
LT,2011,3.6,PC
LT,2012,3.8,PC
LT,2013,3.2,PC
LT,2014,3.8,PC
LT,2015,4.1,PC
LT,2016,4.6,PC
LT,2017,4.5,PC
LU,2010,24.1,PC
LU,2011,20.7,PC
LU,2012,18.5,PC
LU,2013,15.3,PC
LU,2014,11.2,PC
LU,2015,9.7,PC
LU,2016,7.0,PC
LU,2017,10.6,PC
LV,2010,1.2,PC
LV,2011,2.9,PC
LV,2012,1.3,PC
LV,2013,3.8,PC
LV,2014,5.3,PC
LV,2015,5.4,PC
LV,2016,6.5,PC
LV,2017,5.5,PC
MT,2010,5.3,PC
MT,2011,4.5,PC
MT,2012,3.9,PC
MT,2013,6.3,PC
MT,2014,6.4,PC
MT,2015,4.6,PC
MT,2016,4.2,PC
MT,2017,6.5,PC
NL,2010,25.3,PC
NL,2011,25.0,PC
NL,2012,26.5,PC
NL,2013,27.1,PC
NL,2014,26.6,PC
NL,2015,25.8,PC
NL,2016,28.5,PC
NL,2017,29.7,PC
PL,2010,10.8,PC
PL,2011,9.2,PC
PL,2012,10.6,PC
PL,2013,11.8,PC
PL,2014,12.5,PC
PL,2015,11.6,PC
PL,2016,10.2,PC
PL,2017,9.9,PC
PT,2010,1.8,PC
PT,2011,1.7,PC
PT,2012,2.0,PC
PT,2013,2.5,PC
PT,2014,2.5,PC
PT,2015,2.1,PC
PT,2016,2.1,PC
PT,2017,2.0,PC
RO,2010,3.5,PC
RO,2011,2.5,PC
RO,2012,2.6,PC
RO,2013,2.5,PC
RO,2014,2.1,PC
RO,2015,1.7,PC
RO,2016,1.7,PC
RO,2017,1.7,PC
SE,2010,7.2,PC
SE,2011,7.5,PC
SE,2012,8.2,PC
SE,2013,7.3,PC
SE,2014,6.5,PC
SE,2015,6.8,PC
SE,2016,7.0,PC
SE,2017,6.8,PC
SI,2010,5.9,PC
SI,2011,7.6,PC
SI,2012,9.3,PC
SI,2013,9.2,PC
SI,2014,8.4,PC
SI,2015,8.4,PC
SI,2016,8.5,PC
SI,2017,9.7,PC
SK,2010,5.1,PC
SK,2011,4.8,PC
SK,2012,4.1,PC
SK,2013,4.6,PC
SK,2014,4.8,PC
SK,2015,5.0,PC
SK,2016,5.2,PC
SK,2017,5.1,PC
UK,2010,14.0,PC
UK,2011,13.7,PC
UK,2012,14.0,PC
UK,2013,14.2,PC
UK,2014,14.0,PC
UK,2015,15.1,PC
UK,2016,15.7,PC
UK,2017,15.7,PC
