geo,time,value,unit
European Union - 27 countries (from 2020),2000,53,kg per capita
European Union - 27 countries (from 2020),2001,54,kg per capita
European Union - 27 countries (from 2020),2002,57,kg per capita
European Union - 27 countries (from 2020),2003,57,kg per capita
European Union - 27 countries (from 2020),2004,59,kg per capita
European Union - 27 countries (from 2020),2005,59,kg per capita
European Union - 27 countries (from 2020),2006,61,kg per capita
European Union - 27 countries (from 2020),2007,64,kg per capita
European Union - 27 countries (from 2020),2008,69,kg per capita
European Union - 27 countries (from 2020),2009,67,kg per capita
European Union - 27 countries (from 2020),2010,66,kg per capita
European Union - 27 countries (from 2020),2011,66,kg per capita
European Union - 27 countries (from 2020),2012,69,kg per capita
European Union - 27 countries (from 2020),2013,71,kg per capita
European Union - 27 countries (from 2020),2014,73,kg per capita
European Union - 27 countries (from 2020),2015,75,kg per capita
European Union - 27 countries (from 2020),2016,82,kg per capita
European Union - 27 countries (from 2020),2017,85,kg per capita
European Union - 27 countries (from 2020),2018,84,kg per capita
European Union - 27 countries (from 2020),2019,87,kg per capita
European Union - 28 countries (2013-2020),2000,48,kg per capita
European Union - 28 countries (2013-2020),2001,50,kg per capita
European Union - 28 countries (2013-2020),2002,53,kg per capita
European Union - 28 countries (2013-2020),2003,53,kg per capita
European Union - 28 countries (2013-2020),2004,57,kg per capita
European Union - 28 countries (2013-2020),2005,58,kg per capita
European Union - 28 countries (2013-2020),2006,61,kg per capita
European Union - 28 countries (2013-2020),2007,64,kg per capita
European Union - 28 countries (2013-2020),2008,69,kg per capita
European Union - 28 countries (2013-2020),2009,68,kg per capita
European Union - 28 countries (2013-2020),2010,67,kg per capita
European Union - 28 countries (2013-2020),2011,67,kg per capita
European Union - 28 countries (2013-2020),2012,70,kg per capita
European Union - 28 countries (2013-2020),2013,72,kg per capita
European Union - 28 countries (2013-2020),2014,74,kg per capita
European Union - 28 countries (2013-2020),2015,75,kg per capita
European Union - 28 countries (2013-2020),2016,82,kg per capita
European Union - 28 countries (2013-2020),2017,84,kg per capita
European Union - 28 countries (2013-2020),2018,84,kg per capita
European Union - 28 countries (2013-2020),2019,,kg per capita
Belgium,2000,106,kg per capita
Belgium,2001,100,kg per capita
Belgium,2002,106,kg per capita
Belgium,2003,108,kg per capita
Belgium,2004,116,kg per capita
Belgium,2005,112,kg per capita
Belgium,2006,113,kg per capita
Belgium,2007,116,kg per capita
Belgium,2008,98,kg per capita
Belgium,2009,95,kg per capita
Belgium,2010,97,kg per capita
Belgium,2011,93,kg per capita
Belgium,2012,93,kg per capita
Belgium,2013,92,kg per capita
Belgium,2014,87,kg per capita
Belgium,2015,80,kg per capita
Belgium,2016,85,kg per capita
Belgium,2017,81,kg per capita
Belgium,2018,82,kg per capita
Belgium,2019,86,kg per capita
Bulgaria,2000,0,kg per capita
Bulgaria,2001,0,kg per capita
Bulgaria,2002,0,kg per capita
Bulgaria,2003,0,kg per capita
Bulgaria,2004,0,kg per capita
Bulgaria,2005,0,kg per capita
Bulgaria,2006,0,kg per capita
Bulgaria,2007,0,kg per capita
Bulgaria,2008,0,kg per capita
Bulgaria,2009,0,kg per capita
Bulgaria,2010,0,kg per capita
Bulgaria,2011,11,kg per capita
Bulgaria,2012,13,kg per capita
Bulgaria,2013,15,kg per capita
Bulgaria,2014,8,kg per capita
Bulgaria,2015,43,kg per capita
Bulgaria,2016,37,kg per capita
Bulgaria,2017,34,kg per capita
Bulgaria,2018,7,kg per capita
Bulgaria,2019,,kg per capita
Czechia,2000,1,kg per capita
Czechia,2001,1,kg per capita
Czechia,2002,1,kg per capita
Czechia,2003,1,kg per capita
Czechia,2004,2,kg per capita
Czechia,2005,2,kg per capita
Czechia,2006,2,kg per capita
Czechia,2007,3,kg per capita
Czechia,2008,5,kg per capita
Czechia,2009,5,kg per capita
Czechia,2010,7,kg per capita
Czechia,2011,7,kg per capita
Czechia,2012,8,kg per capita
Czechia,2013,9,kg per capita
Czechia,2014,9,kg per capita
Czechia,2015,13,kg per capita
Czechia,2016,23,kg per capita
Czechia,2017,50,kg per capita
Czechia,2018,50,kg per capita
Czechia,2019,56,kg per capita
Denmark,2000,105,kg per capita
Denmark,2001,90,kg per capita
Denmark,2002,102,kg per capita
Denmark,2003,103,kg per capita
Denmark,2004,112,kg per capita
Denmark,2005,122,kg per capita
Denmark,2006,129,kg per capita
Denmark,2007,139,kg per capita
Denmark,2008,114,kg per capita
Denmark,2009,134,kg per capita
Denmark,2010,,kg per capita
