"TIME","GEO","SIEC","PLANT_TEC","UNIT","Value","Flag and Footnotes"
"2009","European Union - 27 countries (from 2020)","Pure biogasoline","Production capacity","Thousand tonnes per year","4,426.237",""
"2009","European Union - 27 countries (from 2020)","Pure biodiesels","Production capacity","Thousand tonnes per year","19,165.977",""
"2009","European Union - 27 countries (from 2020)","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","European Union - 27 countries (from 2020)","Other liquid biofuels","Production capacity","Thousand tonnes per year","3,110.161",""
"2009","European Union - 28 countries (2013-2020)","Pure biogasoline","Production capacity","Thousand tonnes per year","4,485.787",""
"2009","European Union - 28 countries (2013-2020)","Pure biodiesels","Production capacity","Thousand tonnes per year","19,842.377",""
"2009","European Union - 28 countries (2013-2020)","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","European Union - 28 countries (2013-2020)","Other liquid biofuels","Production capacity","Thousand tonnes per year","3,110.161",""
"2009","Euro area - 19 countries  (from 2015)","Pure biogasoline","Production capacity","Thousand tonnes per year","3,428.356",""
"2009","Euro area - 19 countries  (from 2015)","Pure biodiesels","Production capacity","Thousand tonnes per year","17,557.892",""
"2009","Euro area - 19 countries  (from 2015)","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Euro area - 19 countries  (from 2015)","Other liquid biofuels","Production capacity","Thousand tonnes per year","2,817.658",""
"2009","Belgium","Pure biogasoline","Production capacity","Thousand tonnes per year","369.000",""
"2009","Belgium","Pure biodiesels","Production capacity","Thousand tonnes per year","665.000",""
"2009","Belgium","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Belgium","Other liquid biofuels","Production capacity","Thousand tonnes per year","340.000",""
"2009","Bulgaria","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2009","Bulgaria","Pure biodiesels","Production capacity","Thousand tonnes per year","191.760",""
"2009","Bulgaria","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Bulgaria","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Czechia","Pure biogasoline","Production capacity","Thousand tonnes per year","160.000",""
"2009","Czechia","Pure biodiesels","Production capacity","Thousand tonnes per year","420.000",""
"2009","Czechia","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Czechia","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Denmark","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2009","Denmark","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Denmark","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Denmark","Other liquid biofuels","Production capacity","Thousand tonnes per year","87.194",""
"2009","Germany (until 1990 former territory of the FRG)","Pure biogasoline","Production capacity","Thousand tonnes per year","794.000",""
"2009","Germany (until 1990 former territory of the FRG)","Pure biodiesels","Production capacity","Thousand tonnes per year","4,050.000",""
"2009","Germany (until 1990 former territory of the FRG)","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Germany (until 1990 former territory of the FRG)","Other liquid biofuels","Production capacity","Thousand tonnes per year","1,790.000",""
"2009","Ireland","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2009","Ireland","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Ireland","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Ireland","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Greece","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2009","Greece","Pure biodiesels","Production capacity","Thousand tonnes per year","575.000",""
"2009","Greece","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Greece","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Spain","Pure biogasoline","Production capacity","Thousand tonnes per year","464.000",""
"2009","Spain","Pure biodiesels","Production capacity","Thousand tonnes per year","4,272.000",""
"2009","Spain","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Spain","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","France","Pure biogasoline","Production capacity","Thousand tonnes per year","1,091.795",""
"2009","France","Pure biodiesels","Production capacity","Thousand tonnes per year","2,254.955",""
"2009","France","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","France","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Croatia","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000",""
"2009","Croatia","Pure biodiesels","Production capacity","Thousand tonnes per year","61.000",""
"2009","Croatia","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000",""
"2009","Croatia","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000",""
"2009","Italy","Pure biogasoline","Production capacity","Thousand tonnes per year","332.000",""
"2009","Italy","Pure biodiesels","Production capacity","Thousand tonnes per year","2,212.194",""
