"TIME","GEO","NRG_BAL","SIEC","UNIT","Value","Flag and Footnotes"
"2010","European Union - 27 countries (from 2020)","Indigenous production","Geothermal","Terajoule","230,683.950",""
"2010","European Union - 27 countries (from 2020)","Indigenous production","Solar thermal","Terajoule","75,453.261",""
"2010","European Union - 27 countries (from 2020)","Indigenous production","Primary solid biofuels","Terajoule","3,640,070.354",""
"2010","European Union - 27 countries (from 2020)","Indigenous production","Biogases","Terajoule","292,896.128",""
"2010","European Union - 27 countries (from 2020)","Indigenous production","Renewable municipal waste","Terajoule","308,716.369",""
"2010","European Union - 28 countries (2013-2020)","Indigenous production","Geothermal","Terajoule","230,716.950",""
"2010","European Union - 28 countries (2013-2020)","Indigenous production","Solar thermal","Terajoule","77,044.261",""
"2010","European Union - 28 countries (2013-2020)","Indigenous production","Primary solid biofuels","Terajoule","3,722,031.354",""
"2010","European Union - 28 countries (2013-2020)","Indigenous production","Biogases","Terajoule","370,536.128",""
"2010","European Union - 28 countries (2013-2020)","Indigenous production","Renewable municipal waste","Terajoule","327,501.369",""
"2010","Euro area - 19 countries  (from 2015)","Indigenous production","Geothermal","Terajoule","223,163.950",""
"2010","Euro area - 19 countries  (from 2015)","Indigenous production","Solar thermal","Terajoule","72,726.863",""
"2010","Euro area - 19 countries  (from 2015)","Indigenous production","Primary solid biofuels","Terajoule","2,476,234.804",""
"2010","Euro area - 19 countries  (from 2015)","Indigenous production","Biogases","Terajoule","269,655.576",""
"2010","Euro area - 19 countries  (from 2015)","Indigenous production","Renewable municipal waste","Terajoule","253,152.369",""
"2010","Belgium","Indigenous production","Geothermal","Terajoule","153.900",""
"2010","Belgium","Indigenous production","Solar thermal","Terajoule","507.000",""
"2010","Belgium","Indigenous production","Primary solid biofuels","Terajoule","57,615.800",""
"2010","Belgium","Indigenous production","Biogases","Terajoule","5,969.200",""
"2010","Belgium","Indigenous production","Renewable municipal waste","Terajoule","12,825.600",""
"2010","Bulgaria","Indigenous production","Geothermal","Terajoule","1,368.000",""
"2010","Bulgaria","Indigenous production","Solar thermal","Terajoule","428.000",""
"2010","Bulgaria","Indigenous production","Primary solid biofuels","Terajoule","39,633.000",""
"2010","Bulgaria","Indigenous production","Biogases","Terajoule","112.000",""
"2010","Bulgaria","Indigenous production","Renewable municipal waste","Terajoule","0.000",""
"2010","Czechia","Indigenous production","Geothermal","Terajoule","0.000",""
"2010","Czechia","Indigenous production","Solar thermal","Terajoule","364.096",""
"2010","Czechia","Indigenous production","Primary solid biofuels","Terajoule","102,385.000",""
"2010","Czechia","Indigenous production","Biogases","Terajoule","7,398.000",""
"2010","Czechia","Indigenous production","Renewable municipal waste","Terajoule","2,625.000",""
"2010","Denmark","Indigenous production","Geothermal","Terajoule","212.000",""
"2010","Denmark","Indigenous production","Solar thermal","Terajoule","635.302",""
"2010","Denmark","Indigenous production","Primary solid biofuels","Terajoule","71,309.550",""
"2010","Denmark","Indigenous production","Biogases","Terajoule","4,336.552",""
"2010","Denmark","Indigenous production","Renewable municipal waste","Terajoule","20,959.000",""
"2010","Germany (until 1990 former territory of the FRG)","Indigenous production","Geothermal","Terajoule","3,702.000",""
"2010","Germany (until 1990 former territory of the FRG)","Indigenous production","Solar thermal","Terajoule","20,132.000",""
"2010","Germany (until 1990 former territory of the FRG)","Indigenous production","Primary solid biofuels","Terajoule","564,058.000",""
"2010","Germany (until 1990 former territory of the FRG)","Indigenous production","Biogases","Terajoule","182,537.000",""
