geo_code,time,value,type
AT,2008,6568.5,A01
BE,2008,8051.6,A01
BG,2008,4914.6,A01
HR,2008,3288.4,A01
CY,2008,733.4,A01
CZ,2008,6174.7,A01
DK,2008,8200.0,A01
EE,2008,671.4,A01
EU27_2020,2008,374171.00000000006,A01
EU28,2008,401969.00000000006,A01
FI,2008,4357.0,A01
FR,2008,72311.0,A01
DE,2008,45795.0,A01
EL,2008,11111.3,A01
HU,2008,8943.0,A01
IE,2008,6462.5,A01
IT,2008,51394.8,A01
LV,2008,1130.0,A01
LT,2008,2474.8,A01
LU,2008,363.7,A01
MT,2008,149.5,A01
NL,2008,27445.0,A01
PL,2008,24175.0,A01
PT,2008,6231.1,A01
RO,2008,19130.9,A01
SK,2008,2832.4,A01
SI,2008,1249.4,A01
ES,2008,42938.0,A01
SE,2008,7074.0,A01
UK,2008,27798.0,A01
AT,2009,5979.5,A01
BE,2009,7494.5,A01
BG,2009,4080.7,A01
HR,2009,3121.7,A01
CY,2009,712.2,A01
CZ,2009,5032.4,A01
DK,2009,7851.9,A01
EE,2009,570.9,A01
EU27_2020,2009,334537.30000000005,A01
EU28,2009,359638.9,A01
FI,2009,4144.0,A01
FR,2009,67011.0,A01
DE,2009,39697.0,A01
EL,2009,10717.2,A01
HU,2009,7223.2,A01
IE,2009,5057.8,A01
IT,2009,47343.6,A01
LV,2009,962.0,A01
LT,2009,1864.8,A01
LU,2009,323.2,A01
MT,2009,147.8,A01
NL,2009,25846.0,A01
PL,2009,19312.1,A01
PT,2009,5880.9,A01
RO,2009,15198.9,A01
SK,2009,2322.6,A01
SI,2009,1138.4,A01
ES,2009,39466.0,A01
SE,2009,6037.0,A01
UK,2009,25101.6,A01
AT,2010,6400.2,A01
BE,2010,8444.4,A01
BG,2010,3967.5,A01
HR,2010,2972.0,A01
CY,2010,745.7,A01
CZ,2010,5072.2,A01
DK,2010,8770.8,A01
EE,2010,671.2,A01
EU27_2020,2010,357953.1999999999,A01
EU28,2010,384165.5,A01
FI,2010,4383.0,A01
FR,2010,71895.0,A01
DE,2010,45568.0,A01
EL,2010,11002.8,A01
HU,2010,7241.7,A01
IE,2010,5481.5,A01
IT,2010,48052.7,A01
LV,2010,1043.6,A01
LT,2010,2106.3,A01
LU,2010,325.6,A01
MT,2010,146.4,A01
NL,2010,28053.0,A01
PL,2010,21902.0,A01
PT,2010,6037.6,A01
RO,2010,13815.5,A01
SK,2010,2218.1,A01
SI,2010,1184.5,A01
ES,2010,42452.0,A01
SE,2010,7999.9,A01
UK,2010,26212.3,A01
AT,2011,7225.1,A01
BE,2011,8736.4,A01
BG,2011,4559.3,A01
HR,2011,2947.0,A01
CY,2011,759.7,A01
CZ,2011,6960.0,A01
DK,2011,9657.2,A01
EE,2011,814.2,A01
EU27_2020,2011,390703.9,A01
EU28,2011,419103.0,A01
FI,2011,4740.0,A01
